"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.63768496457242,0.872347087790498,1.8773318412977,0.0608043527580905
"2","P6040",0.00593550559791276,0.00477846738179859,1.24213584056708,0.214518501475781
"3","P5502",0.00699069788360652,0.0630315244022779,0.11090796153034,0.911714707931516
"4","P6081",-0.159325492081145,0.117341629717582,-1.35779171010841,0.174879026683701
"5","P6083",0.154389157601256,0.108286296517831,1.42574972610531,0.15429642392647
"6","P6080",0.00358124305864285,0.0540677943948996,0.066236159597823,0.947204904778233
"7","P1896",0.188388910368979,0.0244490593631194,7.70536434841978,3.52608453877861e-14
"8","P1897",0.0534444296110393,0.0281289363739082,1.89998046497816,0.0577634513136791
"9","P1898",0.0983463036278656,0.0238887799933333,4.11684077861286,4.20367173886173e-05
"10","P1899",0.0388055142228133,0.0235542259237895,1.64749690133608,0.0998141638246131
"11","P1901",0.180230755570065,0.0335611484723989,5.37022014363689,1.00771702812589e-07
"12","P1902",0.0454110690987584,0.0301816185964962,1.5045935642441,0.132788639406525
"13","P1903",-0.0133572478084229,0.0206397259250263,-0.64716207264297,0.517696405569313
"14","P1904",0.00249763699481104,0.0233161615756229,0.107120418886714,0.914717947737546
"15","P1905",0.214164206447168,0.0340289748661304,6.29358384405311,4.89475291625471e-10
"16","N_HIJOS",-0.0560331183693711,0.06653126968578,-0.842207260345541,0.399901558568743
"17","N_NIETOS",0.0947157676674181,0.0560298118470569,1.69045307390932,0.0912966562934679
"18","P1910",0.0062943526404801,0.0462943377603438,0.13596376889685,0.891881125116106
"19","P1911",-0.0141321553219447,0.0499805981128862,-0.282752825206809,0.777433040403967
"20","P1912",0.0663586205012823,0.0876252322926796,0.757300366173478,0.44907334607858
"21","P1084",-0.0874188425570971,0.0648312273949331,-1.34840640953112,0.177875824418216
"22","P1083S3",-0.232984648945065,0.228466177217422,-1.01977742080983,0.308115261456246
"23","P1082",-0.000920942870687039,0.14532708040246,-0.00633703552109239,0.994945252201368
"24","P804",0.00733646694603469,0.0276023980101015,0.265790926692304,0.790462699803598
